Pos,Team,Players,Rating,Career Best Rating,event,type
99,BANGLADESH,Mehidy HASAN,431,462 V INDIA AT MIRPUR 2022,ODI,Batter
100,SCOTLAND,Matthew CROSS,430,446 V UNITED ARAB EMIRATES AT ABERDEEN 2022,ODI,Batter
1,SOUTH AFRICA,Keshav MAHARAJ,716,741 V AUSTRALIA AT KOLKATA 2023,ODI,Bowler
2,AUSTRALIA,Josh HAZLEWOOD,688,727 V ENGLAND AT MELBOURNE 2022,ODI,Bowler
3,AUSTRALIA,Adam ZAMPA,686,695 V BANGLADESH AT PUNE 2023,ODI,Bowler
4,INDIA,Mohammed SIRAJ,678,736 V NEW ZEALAND AT RAIPUR 2023,ODI,Bowler
5,AFGHANISTAN,Rashid KHAN,667,799 V PAKISTAN AT ABU DHABI 2018,ODI,Bowler
6,INDIA,Jasprit BUMRAH,665,838 V WEST INDIES AT TRIVANDRUM 2018,ODI,Bowler
7,PAKISTAN,Shaheen AFRIDI,650,688 V WEST INDIES AT MULTAN 2022,ODI,Bowler
8,AFGHANISTAN,Mohammad NABI,648,657 V ZIMBABWE AT HARARE 2022,ODI,Bowler
9,SRI LANKA,Maheesh THEEKSHANA,648,648 V ZIMBABWE AT COLOMBO (RPS) 2024,ODI,Bowler
10,INDIA,Kuldeep YADAV,645,760 V NEW ZEALAND AT BAY OVAL 2019,ODI,Bowler
11,NEW ZEALAND,Trent BOULT,643,775 V AUSTRALIA AT CAIRNS 2022,ODI,Bowler
12,INDIA,Mohammed SHAMI,629,657 V NEW ZEALAND AT MUMBAI 2023,ODI,Bowler
13,AFGHANISTAN,Mujeeb UR RAHMAN,621,713 V IRELAND AT ABU DHABI 2021,ODI,Bowler
14,SCOTLAND,Mark WATT,611,622 V WEST INDIES AT HARARE 2023,ODI,Bowler
15,AUSTRALIA,Mitchell STARC,604,781 V NEW ZEALAND AT MELBOURNE 2015,ODI,Bowler
16,SOUTH AFRICA,Kagiso RABADA,599,718 V ENGLAND AT LORD'S 2017,ODI,Bowler
17,ENGLAND,Chris WOAKES,596,711 V SRI LANKA AT BRISTOL 2021,ODI,Bowler
18,NEW ZEALAND,Matt HENRY,593,691 V BANGLADESH AT WELLINGTON 2021,ODI,Bowler
19,NAMIBIA,Bernard SCHOLTZ,589,589 V CANADA AT NAMIBIA 2023,ODI,Bowler
20,USA,Saurabh NETRAVALKAR,586,597 V NEPAL AT HARARE 2023,ODI,Bowler
21,NEW ZEALAND,Mitchell SANTNER,582,648 V ENGLAND AT HAMILTON 2018,ODI,Bowler
22,INDIA,Ravindra JADEJA,572,732 V ZIMBABWE AT BULAWAYO 2013,ODI,Bowler
23,IRELAND,Mark ADAIR,566,566 V ZIMBABWE AT HARARE 2023,ODI,Bowler
24,PAKISTAN,Haris RAUF,563,593 V SRI LANKA AT HYDERABAD 2023,ODI,Bowler
25,BANGLADESH,Shakib AL HASAN,561,715 V ZIMBABWE AT CHITTAGONG 2009,ODI,Bowler
26,ZIMBABWE,Richard NGARAVA,548,553 V SRI LANKA AT COLOMBO (RPS) 2024,ODI,Bowler
27,IRELAND,Andy MCBRINE,546,646 V WEST INDIES AT JAMAICA 2022,ODI,Bowler
28,AUSTRALIA,Pat CUMMINS,545,725 V SRI LANKA AT THE OVAL 2019,ODI,Bowler
29,ENGLAND,Adil RASHID,541,674 V INDIA AT HEADINGLEY 2018,ODI,Bowler
30,NEPAL,Sandeep LAMICHHANE,539,595 V PAPUA NEW GUINEA AT KIRTIPUR,ODI,Bowler
31,SOUTH AFRICA,Marco JANSEN,537,586 V NEW ZEALAND AT PUNE 2023,ODI,Bowler
32,SOUTH AFRICA,Lungi NGIDI,535,622 V AUSTRALIA AT BLOEMFONTEIN 2020,ODI,Bowler
33,AUSTRALIA,Sean ABBOTT,530,530 V WEST INDIES AT CANBERRA 2024,ODI,Bowler
34,WEST INDIES,Akeal HOSEIN,530,597 V SOUTH AFRICA AT POTCHEFSTROOM 2023,ODI,Bowler
35,IRELAND,Joshua LITTLE,528,533 V ZIMBABWE AT HARARE 2023,ODI,Bowler
36,BANGLADESH,Shoriful ISLAM,523,523 V NEW ZEALAND AT NAPIER 2023,ODI,Bowler
37,SRI LANKA,Dilshan MADUSHANKA,519,535 V BANGLADESH AT DELHI 2023,ODI,Bowler
38,AFGHANISTAN,Fazalhaq FAROOQI,516,544 V PAKISTAN AT HAMBANTOTA 2023,ODI,Bowler
39,ENGLAND,Reece TOPLEY,515,558 V SOUTH AFRICA AT MUMBAI 2023,ODI,Bowler
40,SRI LANKA,Wanindu HASARANGA,514,582 V OMAN AT BULAWAYO 2023,ODI,Bowler
41,SCOTLAND,Chris SOLE,509,511 V ZIMBABWE AT BULAWAYO 2023,ODI,Bowler
42,NAMIBIA,Ruben TRUMPELMANN,508,510 V JERSEY AT NAMIBIA 2023,ODI,Bowler
43,PAKISTAN,Mohammad WASIM,505,505 V ENGLAND AT KOLKATA 2023,ODI,Bowler
44,WEST INDIES,Alzarri JOSEPH,503,625 V SOUTH AFRICA AT POTCHEFSTROOM 2023,ODI,Bowler
45,BANGLADESH,Mehidy HASAN,502,725 V SRI LANKA AT MIRPUR 2021,ODI,Bowler
46,NETHERLANDS,Logan VAN BEEK,501,533 V AFGHANISTAN AT LUCKNOW 2023,ODI,Bowler
47,SOUTH AFRICA,Tabraiz SHAMSI,500,597 V BANGLADESH AT JOHANNESBURG 2022,ODI,Bowler
48,UNITED ARAB EMIRATES,Aayan KHAN,500,517 V SRI LANKA AT BULAWAYO 2023,ODI,Bowler
49,OMAN,Bilal KHAN,499,546 V USA AT TEXAS 2022,ODI,Bowler
50,BANGLADESH,Mustafizur RAHMAN,497,693 V WEST INDIES AT SYLHET 2018,ODI,Bowler
51,ENGLAND,Jofra ARCHER,497,642 V AUSTRALIA AT OLD TRAFFORD 2020,ODI,Bowler
52,NETHERLANDS,Aryan DUTT,493,505 V BANGLADESH AT KOLKATA 2023,ODI,Bowler
53,ZIMBABWE,Sikandar RAZA,492,492 V SRI LANKA AT COLOMBO (RPS) 2024,ODI,Bowler
